#pos.x,pos.y,pos.z
1.517973504479741331e+00,1.688086404396153650e+00,6.599999999999999645e+00
1.636794895898153079e+00,1.671438357671108710e+00,6.599999999999999645e+00
1.754404189386173041e+00,1.647695261756392027e+00,6.599999999999999645e+00
1.870378118490040320e+00,1.616942566157830052e+00,6.599999999999999645e+00
1.984299302301795187e+00,1.579290947370651566e+00,6.599999999999999645e+00
2.095757747579830799e+00,1.534875910563621382e+00,6.599999999999999645e+00
2.204352324281822817e+00,1.483857301906760906e+00,6.599999999999999645e+00
2.309692209199713631e+00,1.426418733297749153e+00,6.599999999999999645e+00
2.411398292501223839e+00,1.362766921557367894e+00,6.599999999999999645e+00
2.509104542115857761e+00,1.293130944472174582e+00,6.599999999999999645e+00
2.602459321055090147e+00,1.217761416361845095e+00,6.599999999999999645e+00
2.691126652925802887e+00,1.136929586138253345e+00,6.599999999999999645e+00
2.774787431082489597e+00,1.050926361102302753e+00,6.599999999999999645e+00
2.853140567066584588e+00,9.600612599917850432e-01,6.599999999999999645e+00
2.925904074199778382e+00,8.646612990481642447e-01,6.599999999999999645e+00
2.992816082431549507e+00,7.650698151112426126e-01,6.599999999999999645e+00
3.053635780788561238e+00,6.616452299772966894e-01,6.599999999999999645e+00
3.108144284034120464e+00,5.547597604676596239e-01,6.599999999999999645e+00
3.156145420418663416e+00,4.447980788501105232e-01,6.599999999999999645e+00
3.197466437686212082e+00,3.321559284341065732e-01,6.599999999999999645e+00
3.231958624795947088e+00,2.172386993222203411e-01,6.599999999999999645e+00
3.259497847121366032e+00,1.004599694435395763e-01,6.599999999999999645e+00
3.279984993200887988e+00,-1.775998388026724106e-02,6.599999999999999645e+00
3.293346331432089880e+00,-1.369956964794636634e-01,6.599999999999999645e+00
3.299533775425853133e+00,-2.568180485478102626e-01,6.599999999999999645e+00
3.298525057065437860e+00,-3.767958090104732150e-01,6.599999999999999645e+00
3.290323806647656113e+00,-4.964971874902201487e-01,6.599999999999999645e+00
3.274959539817724696e+00,-6.154913882865004071e-01,6.599999999999999645e+00
3.252487551344814154e+00,-7.333501607747635598e-01,6.599999999999999645e+00
3.222988716120591679e+00,-8.496493406462526377e-01,6.599999999999999645e+00
3.186569198096945055e+00,-9.639703764414730980e-01,6.599999999999999645e+00
3.143360068210399483e+00,-1.075901835883465774e+00,6.599999999999999645e+00
3.093516832668286032e+00,-1.185040886589710407e+00,6.599999999999999645e+00
3.037218873294321053e+00,-1.290994745833695667e+00,6.599999999999999645e+00
2.974668801947750740e+00,-1.393382094138580385e+00,6.599999999999999645e+00
2.906091731339451201e+00,-1.491834447615534742e+00,6.599999999999999645e+00
2.831734464869263501e+00,-1.585997484107824818e+00,6.599999999999999645e+00
2.751864608400268253e+00,-1.675532318367955131e+00,6.599999999999999645e+00
2.666769607166659561e+00,-1.760116721678607110e+00,6.599999999999999645e+00
2.576755711281304873e+00,-1.839446281528056559e+00,6.599999999999999645e+00
2.482146873566048573e+00,-1.913235497166489552e+00,6.599999999999999645e+00
2.383283583671381489e+00,-1.981218807100398216e+00,6.599999999999999645e+00
2.280521642681383021e+00,-2.043151544827185084e+00,6.599999999999999645e+00
2.174230882614037963e+00,-2.098810819370364733e+00,6.599999999999999645e+00
2.064793835425342561e+00,-2.147996317446385195e+00,6.599999999999999645e+00
1.952604356307347189e+00,-2.190531024376136671e+00,6.599999999999999645e+00
1.838066206234778122e+00,-2.226261861146643373e+00,6.599999999999999645e+00
1.721591598861537564e+00,-2.255060235330204499e+00,6.599999999999999645e+00
1.603599716996687352e+00,-2.276822503878271675e+00,6.599999999999999645e+00
1.484515203998999500e+00,-2.291470346124501400e+00,6.599999999999999645e+00
1.364766635519423676e+00,-2.298951045654578973e+00,6.599999999999999645e+00
1.244784977091550893e+00,-2.299237680028381803e+00,6.599999999999999645e+00
1.125002033121079270e+00,-2.292329217671692287e+00,6.599999999999999645e+00
1.005848892856245680e+00,-2.278250521588750299e+00,6.599999999999999645e+00
8.877543789320532230e-01,-2.257052259882287526e+00,6.599999999999999645e+00
7.711435040718580547e-01,-2.228810723403071403e+00,6.599999999999999645e+00
6.564359415005238674e-01,-2.193627551185227897e+00,6.599999999999999645e+00
5.440445145740050448e-01,-2.151629364655474497e+00,6.599999999999999645e+00
4.343737110610609298e-01,-2.102967311932719241e+00,6.599999999999999645e+00
3.278182274240827865e-01,-2.047816523858053905e+00,6.599999999999999645e+00
2.247615483380500934e-01,-1.986375483712842671e+00,6.599999999999999645e+00
1.255745665598144434e-01,-1.918865312893247355e+00,6.599999999999999645e+00
3.061424811469096174e-02,-1.845528975111982772e+00,6.599999999999999645e+00
-5.977765239575574818e-02,-1.766630401991320598e+00,6.599999999999999645e+00
-1.452758217412266073e-01,-1.682453543194260659e+00,6.599999999999999645e+00
-2.255725588390209979e-01,-1.593301344512373596e+00,6.599999999999999645e+00
-3.003788821456571112e-01,-1.499494657588092972e+00,6.599999999999999645e+00
-3.694255696783659837e-01,-1.401371085195280752e+00,6.599999999999999645e+00
-4.324641279235044156e-01,-1.299283766233809034e+00,6.599999999999999645e+00
-4.892676861448636005e-01,-1.193600104810864426e+00,6.599999999999999645e+00
-5.396318128733282871e-01,-1.084700447982910765e+00,6.599999999999999645e+00
-5.833752516394060672e-01,-9.729767169170117080e-01,6.599999999999999645e+00
-6.203405733007841816e-01,-8.588309963978535411e-01,6.599999999999999645e+00
-6.503947426172386193e-01,-7.426740877567192811e-01,6.599999999999999645e+00
-6.734295970338383119e-01,-6.249240304303087523e-01,6.599999999999999645e+00
-6.893622359493410956e-01,-5.060045974701945504e-01,6.599999999999999645e+00
-6.981353190688365240e-01,-3.863437704174563780e-01,6.599999999999999645e+00
-6.997172727668872216e-01,-2.663721990312979404e-01,6.599999999999999645e+00
-6.941024037184850837e-01,-1.465216514149596527e-01,6.599999999999999645e+00
-6.813109193888735593e-01,-2.722346011680051858e-02,6.599999999999999645e+00
-6.613888553084937838e-01,9.109303020109263405e-02,6.599999999999999645e+00
-6.344079093947877501e-01,2.080020079400520805e-01,6.599999999999999645e+00
-6.004651839171195604e-01,3.230827270267631057e-01,6.599999999999999645e+00
-5.596828360334641372e-01,4.359210211447766548e-01,6.599999999999999645e+00
-5.122076381565519032e-01,5.461107942860026210e-01,6.599999999999999645e+00
-4.582104497316784597e-01,6.532554822578079401e-01,6.599999999999999645e+00
-3.978856023272074882e-01,7.569694798858720430e-01,6.599999999999999645e+00
-3.314502002507774270e-01,8.568795287764108259e-01,6.599999999999999645e+00
-2.591433392082386211e-01,9.526260606433236688e-01,6.599999999999999645e+00
-1.812252458173047309e-01,1.043864491365736225e+00,6.599999999999999645e+00
-9.797634107273978099e-02,1.130266461118729193e+00,6.599999999999999645e+00
-9.696231133595425988e-03,1.211521016114122107e+00,6.599999999999999645e+00
8.329737093542577409e-02,1.287335727698321053e+00,6.599999999999999645e+00
1.806697885879143817e-01,1.357437744779686373e+00,6.599999999999999645e+00
